videoId,topicCategoryId
T3DpRZSVG8Y,1
T3DpRZSVG8Y,4
MLxdBdlMo-0,0
MLxdBdlMo-0,1
gKBZzzuaaj0,0
gKBZzzuaaj0,1
XDJKD59RE18,0
XDJKD59RE18,1
XDJKD59RE18,4
u_SgvtFIRk8,0
u_SgvtFIRk8,1
jPFuQitrqI8,0
jPFuQitrqI8,1
jPFuQitrqI8,3
g-bguUoqAF8,0
g-bguUoqAF8,1
bLxpbBijpOA,0
bLxpbBijpOA,1
bLxpbBijpOA,4
tlJbsHoXHVc,0
tlJbsHoXHVc,1
frwE7e9i_8Y,0
frwE7e9i_8Y,1
GlrHlpIwl2I,0
GlrHlpIwl2I,1
GlrHlpIwl2I,2
o2jfEfZ9ils,0
o2jfEfZ9ils,1
05i1-cTRxvc,0
05i1-cTRxvc,1
hUnb-mcIq6k,0
hUnb-mcIq6k,1
hUnb-mcIq6k,3
9zYAavr3MR8,0
9zYAavr3MR8,1
9zYAavr3MR8,4
exwR5cbtdYs,0
exwR5cbtdYs,1
JxcWL0Wi028,0
JxcWL0Wi028,1
30ReVt-nhpQ,0
30ReVt-nhpQ,1
VuntOxD3ln0,0
VuntOxD3ln0,1
VuntOxD3ln0,3
6lBblsiC8m4,0
6lBblsiC8m4,1
DIcc-4qLq3E,0
DIcc-4qLq3E,1
FsQVPgr8mi0,0
FsQVPgr8mi0,1
fp0iIncsLfc,0
fp0iIncsLfc,1
fp0iIncsLfc,4
1GLXueTJ2cY,0
1GLXueTJ2cY,1
nGJqNVlS9fY,0
nGJqNVlS9fY,1
nGJqNVlS9fY,3
nGJqNVlS9fY,4
8N_F-4XiXIo,0
8N_F-4XiXIo,1
yTlT_AcF050,0
yTlT_AcF050,1
yTlT_AcF050,3
pCFcQbkI7m4,0
pCFcQbkI7m4,1
CJotQooyNaE,0
CJotQooyNaE,1
JjAdETMV2fc,0
JjAdETMV2fc,1
LGqPxck0BWM,0
LGqPxck0BWM,1
efJ1A-F2cco,0
efJ1A-F2cco,1
efJ1A-F2cco,4
EftZl7uN6-Y,0
EftZl7uN6-Y,1
krBeIaZp0Ao,0
krBeIaZp0Ao,1
DGa7JDq9NqM,0
DGa7JDq9NqM,1
tuURwXXVx_M,0
tuURwXXVx_M,1
g0JRJKLKKpQ,0
g0JRJKLKKpQ,1
g0JRJKLKKpQ,3
x_uyel7v6MQ,0
x_uyel7v6MQ,1
x_uyel7v6MQ,4
mHJiMzYBrr4,0
mHJiMzYBrr4,1
lKXc5O85uP8,0
lKXc5O85uP8,1
MqNc6G8VxG0,0
MqNc6G8VxG0,1
MqNc6G8VxG0,4
OJBL7HnrAJ8,0
OJBL7HnrAJ8,1
OJBL7HnrAJ8,4
2ehM6J3INRw,0
2ehM6J3INRw,1
2ehM6J3INRw,3
A4FGi4ZYwic,0
A4FGi4ZYwic,1
LWdqpgqk5-k,0
LWdqpgqk5-k,1
4bZn840EKlM,0
4bZn840EKlM,1
4bZn840EKlM,3
4bZn840EKlM,4
q78v-CsfoEk,0
q78v-CsfoEk,1
hslRsaBNn1o,0
hslRsaBNn1o,1
hslRsaBNn1o,3
nChVD5SsE94,0
nChVD5SsE94,1
qQAEtgC9FxU,0
qQAEtgC9FxU,1
qQAEtgC9FxU,3
SQsKScECg0g,0
SQsKScECg0g,1
bL-QfQ-SFg8,0
bL-QfQ-SFg8,1
vzQ6ADxCpFE,0
vzQ6ADxCpFE,1
Q0YTZtJ6Ldo,0
Q0YTZtJ6Ldo,1
Q0YTZtJ6Ldo,6
U9Lsc2py7Oc,0
U9Lsc2py7Oc,1
U9Lsc2py7Oc,3
iNq-rzxiGAg,0
iNq-rzxiGAg,1
iNq-rzxiGAg,4
BHH4kJ3pG2E,0
BHH4kJ3pG2E,1
3jqRh7ah8Kk,0
3jqRh7ah8Kk,1
gsp0OB1I890,0
gsp0OB1I890,1
1scR3d7gGvM,0
1scR3d7gGvM,1
1scR3d7gGvM,4
0MyuFUx3Cm8,0
0MyuFUx3Cm8,1
VMQz9kcjz8Q,0
VMQz9kcjz8Q,1
XzVCmnZcsKo,0
XzVCmnZcsKo,1
M2angQX_0fg,0
M2angQX_0fg,1
3KwDJv9V9bQ,0
3KwDJv9V9bQ,1
QkduhvX54hU,0
QkduhvX54hU,1
tA-Fk6ZGzwI,0
tA-Fk6ZGzwI,1
dq4a2tLAoR8,0
dq4a2tLAoR8,1
g5cFqXQzmos,0
g5cFqXQzmos,1
7u_NQh85xxc,0
7u_NQh85xxc,1
7u_NQh85xxc,3
Vyjsbt7gu_o,0
Vyjsbt7gu_o,1
LWjtzucQMOw,0
LWjtzucQMOw,1
SIl3YctNJVI,0
SIl3YctNJVI,1
SIl3YctNJVI,10
bZmY5NlmDE0,0
bZmY5NlmDE0,1
bZmY5NlmDE0,4
RQ3JgeBW1Rg,0
RQ3JgeBW1Rg,1
2j--yu_BItM,0
2j--yu_BItM,1
2j--yu_BItM,4
DmHmEknr0fI,0
DmHmEknr0fI,1
DmHmEknr0fI,4
dnPW37kfU8A,0
dnPW37kfU8A,1
dnPW37kfU8A,4
XMj1WZxvhdo,0
XMj1WZxvhdo,1
xsY7hI_GF68,0
xsY7hI_GF68,1
2wu6MVwAd4o,0
2wu6MVwAd4o,1
SegQAaIx-Yk,0
SegQAaIx-Yk,1
SegQAaIx-Yk,3
SegQAaIx-Yk,8
0Lfwjvu-x6I,0
0Lfwjvu-x6I,1
0Lfwjvu-x6I,8
-L9TOxCAToM,0
-L9TOxCAToM,1
DbzwB-0otZw,0
DbzwB-0otZw,1
XbLi9bE9q6o,0
XbLi9bE9q6o,1
qMxRJaRZS8o,0
qMxRJaRZS8o,1
WFITOJFvUXs,0
WFITOJFvUXs,1
WFITOJFvUXs,11
WFITOJFvUXs,4
vI4zUtkb61I,0
vI4zUtkb61I,1
DGLoTSZ-egY,0
DGLoTSZ-egY,1
DGLoTSZ-egY,4
GoE32OcHwnc,0
GoE32OcHwnc,1
n2S69_ithEw,0
