videoId,title,description,publishedAt,duration,channelId,channelTitle,thumbnail_url,viewCount,likeCount,commentCount,categoryId,topics
WQNKGxQx9c8,MULTI-BALL LEVEL ROLL THROUGH THE LEGS 🙈,Wow!,2023-11-05T16:00:25Z,PT38S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/WQNKGxQx9c8/default.jpg,105533928,2714052,3068,17,"https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Physical_fitness"
zUepsFBaU2s,THROW + SHOT CHALLENGE 🙈⚽️,Ouch!,2023-07-02T15:00:47Z,PT23S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/zUepsFBaU2s/default.jpg,105413418,3588321,6522,17,https://en.wikipedia.org/wiki/Sport
PzwCus6w7lI,FOOTBALL WITH EMOJIS 🎒🗑️🍑🪄,Yes,2024-01-23T16:00:17Z,PT27S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/PzwCus6w7lI/default.jpg,104869895,2484051,2312,17,"https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
Tw7trH_mOTc,NAME THE PLAYER OR 🤕🍑,Ouch,2023-11-01T16:00:31Z,PT31S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/Tw7trH_mOTc/default.jpg,103282704,3136253,9508,17,"https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
-hIET0ChfIA,DON'T MOVE vs GARETH BALE 😱⚽️,Thank you ​⁠​⁠@PlayStation 🔥 - advertising #UCLFinal,2023-06-11T15:00:00Z,PT42S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/-hIET0ChfIA/default.jpg,91928032,3610861,3471,17,"https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
8BSjpxI6Baw,DON'T MOVE 🥶🙈,Subscribeee ⚽,2023-06-03T16:40:19Z,PT26S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/8BSjpxI6Baw/default.jpg,89552754,2338807,3849,17,https://en.wikipedia.org/wiki/Entertainment
7CxKiniKzhU,"Whatever You Land On, Recreate The Celebration 😱💦",SPLASH,2024-02-13T16:30:02Z,PT28S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/7CxKiniKzhU/default.jpg,87368080,1555177,1371,17,"https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
q8mqTbnbuwY,MULTI-BALL NO REACTION CHALLENGE 🥶🙈,Wow!,2023-09-09T15:00:38Z,PT23S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/q8mqTbnbuwY/default.jpg,85776409,2649696,1388,17,https://en.wikipedia.org/wiki/Sport
s2HsqBrSVqk,NAME A PLAYER OR SWIM?! 💦⚽️,Wow!,2023-10-03T15:30:12Z,PT31S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/s2HsqBrSVqk/default.jpg,85525987,2278813,2970,17,"https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
oobAWJQ_7qk,MULTI-BALL vs HEAD CHALLENGE 🙈⚽️,Ouch.. ⚽️,2023-08-07T15:30:12Z,PT24S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/oobAWJQ_7qk/default.jpg,84546759,1248997,865,17,https://en.wikipedia.org/wiki/Sport
7hK5Q1_TkBU,"Whatever You Land On, Shoot The Penalty! 😱🔥",Wow,2024-01-15T16:30:01Z,PT37S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/7hK5Q1_TkBU/default.jpg,79356152,1657432,1979,17,"https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
trlIEJUwSdk,FOOTBALL vs DUCT TAPE CHALLENGE 😱🔥,Damn 😅,2023-08-24T15:18:29Z,PT25S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/trlIEJUwSdk/default.jpg,75423802,2126050,2312,17,"https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
2OjGtel5vuw,MINI GOAL BACKSPIN CHALLENGE 😱⏪,The GOAT is on fire 🔥,2023-09-13T15:30:01Z,PT35S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/2OjGtel5vuw/default.jpg,74526044,2401783,3849,17,https://en.wikipedia.org/wiki/Sport
IyyZf4INZIE,EA FC 24 CARD PENALTIES! 🙈⚽️,Wow,2024-04-13T15:01:44Z,PT34S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/IyyZf4INZIE/default.jpg,72593929,1886050,2912,17,https://en.wikipedia.org/wiki/Sport
