videoId,title,description,publishedAt,duration,channelId,channelTitle,thumbnail_url,viewCount,likeCount,commentCount,categoryId,topics
N_T93jrpaSE,Probando COMIDA CALLEJERA en Argentina 🥟🇦🇷,"Luisisho El Gordisho sale a engordar por las calles de Argentina. No fue decepcionado.

- Música: https://soundcloud.com/srchancho/02-senor-chancho-dj-nirso-ft-ender-cumbiambera-rap
* Used under a Creative Commons License granted through Soundcloud https://creativecommons.org/licenses/by/3.0/ / Utilizadas bajo una licencia Creative Commons otorgada a través de Soundcloud https://creativecommons.org/licenses/by/3.0/

¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica",2019-05-09T20:45:00Z,PT21M4S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/N_T93jrpaSE/default.jpg,38336267,725615,78539,23,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Tourism"
XFzuUwiL85U,"Visité el país donde NADIE vive | Ordos, China","¿Alguna vez habían escuchado de un territorio tan moderno y tan solitario?

- Música: https://soundcloud.com/la-cantina/walkmans-ballad-feat-grandhuit
* Used under a Creative Commons License granted through Soundcloud https://creativecommons.org/licenses/by/3.0/ / Utilizadas bajo una licencia Creative Commons otorgada a través de Soundcloud https://creativecommons.org/licenses/by/3.0/

- Música 2: Thinking - Kevin MacLeod
* Used under a Creative Commons License granted through Soundcloud https://creativecommons.org/licenses/by/3.0/ / Utilizadas bajo una licencia Creative Commons otorgada a través de Soundcloud https://creativecommons.org/licenses/by/3.0/

¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica",2019-04-01T19:30:01Z,PT22M46S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/XFzuUwiL85U/default.jpg,38257903,714813,36352,23,"https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Tourism"
13VkKQGJoSc,Así es la COMIDA RÁPIDA AMERICANA en CHINA!,"Franquicias como Mc Donald's y KFC han hecho cambios inmensos para tener éxito con los chinos! Espero que les guste el video, amigos! :D

* Música: Sakura - Myster https://youtu.be/TwiOJo88g2c
- Soundcloud de Myster https://soundcloud.com/mystersound
- Instagram de Myster https://www.instagram.com/freakmena/
- Twitter de Myster https://twitter.com/mystwr

¡SUSCRÍBETE!

- Twitter @LuisitoComunica :::: https://www.twitter.com/LuisitoComunica
- Facebook :::: http://www.facebook.com/LuisitoComunica
- Instagram @LuisitoComunica :::: http://www.instagram.com/LuisitoComunica
- Vine @LuisitoComunica",2017-04-27T21:23:58Z,PT12M36S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/13VkKQGJoSc/default.jpg,37553710,735950,25677,23,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
FMJYFFdrI68,Así es volar en PRIMERA CLASE!,"Excelente final para una excelente aventura.

* Música: El Choclo - Driussi https://soundcloud.com/joaquindriussi/cool-shiji
- Insta de Driussi https://www.instagram.com/joacodriussi/
- Soundcloud de Driussi https://soundcloud.com/joaquindriussi

¡SUSCRÍBETE!

- Twitter @LuisitoComunica :::: https://www.twitter.com/LuisitoComunica
- Facebook :::: http://www.facebook.com/LuisitoComunica
- Instagram @LuisitoComunica :::: http://www.instagram.com/LuisitoComunica
- Vine @LuisitoComunica",2017-04-16T18:00:09Z,PT11M24S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/FMJYFFdrI68/default.jpg,37132312,881149,39501,23,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
o3xC6xROIVk,Los baratos cigarrillos de 5 centavos en la India 🇮🇳🚬,,2023-03-14T18:55:05Z,PT59S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/o3xC6xROIVk/default.jpg,34476005,1786982,4027,24,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
HFsFY4GOz00,Probando comida callejera en JAPÓN! 🇯🇵,"Luisillo el Gordillo posiblemente termine como luchador de sumo al final de esta travesía.

- Música: https://soundcloud.com/charset/bamboo-grove
* Used under a Creative Commons License 3.0 granted through Soundcloud https://creativecommons.org/licenses/by-sa/3.0/ / Utilizada bajo una licencia Creative Commons 3.0 otorgada a través de Soundcloud https://creativecommons.org/licenses/by-sa/3.0/

¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica",2018-10-12T18:00:00Z,PT15M6S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/HFsFY4GOz00/default.jpg,33688445,627419,21189,23,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
yuFAe1oPoy0,Así es el dinero en Venezuela | UN DÓLAR VALE ORO!,"Es un tema muy complicado...

* Música: Jazz Club - Kriss http://freemusicarchive.org/music/Kriss/
- Usada con licencia Creative Commons — Attribution-NoDerivs 3.0 Unported— CC BY-ND 3.0 https://creativecommons.org/licenses/by-nd/3.0/
- Music provided by Audio Library https://youtu.be/XFh4xCY2BGU

¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica",2017-06-23T19:41:07Z,PT11M22S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/yuFAe1oPoy0/default.jpg,30680460,798569,54623,23,https://en.wikipedia.org/wiki/Society
YfmbmUJ0aXI,Productos ORIGINALES vs GENÉRICOS | ¿Conviene gastar más?,"¿Conviene gastar en los productos de ""mejor calidad""? ¿O resultan ser enteramente lo mismo? ¡Gracias a mis amigos @YayoGutierrez y @DebRyanShow por ayudarme con este video! :D

* Música: Little Lily Swing - Tri-Tachyon https://soundcloud.com/tri-tachyon/little-lily-swing
- Used under license Creative Commons 3.0 https://creativecommons.org/licenses/by/3.0/
- Facebook del músico https://www.facebook.com/Tri-Tachyon-1593864174264842/
- Bandcamp del músico https://tri-tachyon.bandcamp.com/
- Twitter del músico https://twitter.com/Tri_Tachyon

* Canal de Yayo Gutiérrez https://www.youtube.com/user/NoMeRevientes
- Twitter de Yayo https://twitter.com/YayoGutierrez
- Instagram de Yayo https://www.instagram.com/YayoGutierrez/
- Facebook de Yayo https://www.facebook.com/GutierrezYayo

* Canal de Ryan https://www.youtube.com/user/DebRyanShow
- Twitter de Ryan https://twitter.com/DebRyanShow
- Instagram de Ryan https://www.instagram.com/DebRyanShow/
- Facebook de Ryan https://www.facebook.com/DebRyanShow

¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica",2017-08-04T18:55:26Z,PT15M8S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/YfmbmUJ0aXI/default.jpg,30037455,743991,41699,23,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
e8m9CWbP4hs,Visité el templo sagrado de las ratas en la India...,"Nos aventuramos por Bikaner, en India, para visitar Karni Mata: el peculiar templo donde las ratas son consideradas un animal sagrado.

- Música: https://soundcloud.com/voodoohop/urubu-sokak
* Used under a Creative Commons License granted through Soundcloud https://creativecommons.org/licenses/by/3.0/ / Utilizada bajo una licencia Creative Commons otorgada a travñes de Soundcloud https://creativecommons.org/licenses/by/3.0/

¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica",2019-02-20T20:15:02Z,PT20M2S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/e8m9CWbP4hs/default.jpg,29662480,620362,55614,23,"https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Tourism"
w6bJZSzVlX0,ESTO ES UN CAOS 🇮🇳 Mercados callejeros de India,"Visitamos los caóticos mercados callejeros de Delhi, y pasamos a la completa paz en templos y monumentos de esta ciudad. India me está haciendo FLIPAR :D

- Seguro algo de Rey Palomo te gusta  https://elreypalomo.com/

- Música: https://soundcloud.com/lokalaffair/tomanka-disumba-lokal-affair-edit
* Used under a Creative Commons 3.0 License granted through Soundcloud https://creativecommons.org/licenses/by-sa/3.0/ / Utilizada bajo una licencia Creative Commons 3.0 otorgada a través de Soundcloud https://creativecommons.org/licenses/by-sa/3.0/

¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica",2019-02-17T20:15:01Z,PT21M49S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/w6bJZSzVlX0/default.jpg,29239435,355035,24733,23,"https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Tourism"
