channelId,channelTitle,createdAt,totViews,subscribers,videoCount,topicsIds,topicCat
UCmG2EhfOwSjpPMX4LjGY__A,KairosTime Gaming,2016-07-01T15:03:46Z,483504421,1370000,1284,"/m/03hf_rm,/m/0403l3g,/m/025zzc,/m/0bzvm2","https://en.wikipedia.org/wiki/Strategy_video_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Video_game_culture"
UChK0KzE7fazKdo4IfLBk9RQ,SMii7Yplays,2024-08-10T15:18:33.227309Z,2767729,371000,4,"/m/025zzc,/m/0403l3g,/m/02ntfj,/m/0bzvm2","https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Video_game_culture"
UCVUsmF97x4kuhGbBjzl1nVg,Pezzy,2019-01-09T16:09:05Z,66325438,426000,242,"/m/02ntfj,/m/025zzc,/m/0403l3g,/m/0bzvm2","https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Video_game_culture"
UCzEy7pi3B7TIS9cn_sdKK9A,GrayStillPlays,2016-01-20T03:18:27Z,4612032783,8000000,3793,"/m/02ntfj,/m/0403l3g,/m/025zzc,/m/0bzvm2","https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Video_game_culture"
UCHyMwXYaw69vtN244TiW2jQ,xDemon,2020-12-10T01:24:21.260074Z,211159112,1300000,863,"/m/02ntfj,/m/0403l3g,/m/0bzvm2,/m/025zzc","https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Action_game"
UCVAYy7_zddIx6USjXscV9Vg,Caylus  ,2016-04-06T00:27:40Z,6750067718,16700000,1793,"/m/0403l3g,/m/025zzc,/m/02ntfj,/m/0bzvm2,/m/021bp2","https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Simulation_video_game"
UCRC6cNamj9tYAO6h_RXd5xA,RTGame,2011-08-13T18:42:18Z,1317938429,2860000,1068,"/m/02ntfj,/m/025zzc,/m/0403l3g,/m/0bzvm2","https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Video_game_culture"
UCuNgNRHKIiudXKPbTlvh0Pw,Aphmau Shuki,2017-02-08T03:42:06Z,702556867,2650000,275,"/m/02ntfj,/m/021bp2,/m/0403l3g,/m/0bzvm2,/m/025zzc","https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Simulation_video_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Action_game"
UCt9nYeSz90lnOnaVFjxFJzw,Nick Eh 30,2014-12-20T21:34:17Z,1470634312,8140000,647,"/m/02ntfj,/m/0403l3g,/m/025zzc,/m/0bzvm2,/m/03hf_rm","https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Strategy_video_game"
UC7OjANppBi8u3yI4dLAtxDg,IcyDeluxe Movies,2022-01-05T05:13:09.372513Z,22231461,76600,351,"/m/02ntfj,/m/0403l3g,/m/025zzc,/m/0bzvm2","https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Video_game_culture"
